Unnamed: 0,text,sentiment,label,cleaned_text
10,"jo azasartapa un logon ke lie guidance v mercy hai
",positive,2,jo azasartapa un logon ke lie guidance v mercy hai
11,"france men is ek deed ki news bijli ki tarah phail jati hai aur people bhram se mut hokar pride mahsoos karte hain
",positive,2,france men is ek deed ki news bijli ki tarah phail jati hai aur people bhram se mut hokar pride mahsoos karte hain
12,"aapki refuse ko dekhne ke lie unhen permission mat den
",negative,0,aapki refuse ko dekhne ke lie unhen permission mat den
13,"any upakarnon par tab page menu ke lie tab page prishth aksham karen
",neutral,1,any upakarnon par tab page menu ke lie tab page prishth aksham karen
14,"ends ke uddeshyon ki disposal se koson pendency , unka anirnay ya merits ke aadhar par niptan sunishchit roop se ends ke uddeshyon ko viphal kar dega
",positive,2,ends ke uddeshyon ki disposal se koson pendency unka anirnay ya merits ke aadhar par niptan sunishchit roop se ends ke uddeshyon ko viphal kar dega
15,"use apne creatures par poorn adhikar prapt hai. aur vah wise, aware rakhnevala hai
",positive,2,use apne creatures par poorn adhikar prapt hai aur vah wise aware rakhnevala hai
16,"yadi yah aur pahle ka nahin , to bhi seventh century ka bana hai aur earlier mool roop se buddhist creed ke lie tha , kintu bad men vishnu temple men roopantrit kar diya gaya jismen principal deity recumbent hue vishnu ya anantasayin hain
",neutral,1,yadi yah aur pahle ka nahin to bhi seventh century ka bana hai aur earlier mool roop se buddhist creed ke lie tha kintu bad men vishnu temple men roopantrit kar diya gaya jismen principal deity recumbent hue vishnu ya anantasayin hain
17,"hamne tumhen paida kiya phir tum sach kyon nahin mante
",positive,2,hamne tumhen paida kiya phir tum sach kyon nahin mante
18,"aap prat 10 baje vahan ho tej
",neutral,1,aap prat baje vahan ho tej
19,"kuchh mahine hue vahan normal democratic elections hue aur phalasvroop vahan ek popular radical party lokapriy morcha-satta men aayi
",positive,2,kuchh mahine hue vahan normal democratic elections hue aur phalasvroop vahan ek popular radical party lokapriy morchasatta men aayi
20,"continue rakhen lagoo kar raha hai ke sath resolved conflicts
",negative,0,continue rakhen lagoo kar raha hai ke sath resolved conflicts
21,"koee organism or individual jis men mata aur pita in donon se hi prapt gunsutr ka ek dohra gut individual
",neutral,1,koee organism or individual jis men mata aur pita in donon se hi prapt gunsutr ka ek dohra gut individual
22,"aur hamne heaven se ek measure e sath water barsaya phir usko zamin men  hasab maslehat  thahrae rakha aur able to yainan uske aeb kar dene par bhi aboo rakhte hai
",positive,2,aur hamne heaven se ek measure e sath water barsaya phir usko zamin men hasab maslehat thahrae rakha aur able to yainan uske aeb kar dene par bhi aboo rakhte hai
23,"puppet nirdeshkon ke samaksh satire , humour evn whole shakti ka snsar open para hai.
",positive,2,puppet nirdeshkon ke samaksh satire humour evn whole shakti ka snsar open para hai
24,"par sharirik prem doosre tat-aatm-hanan-par bridge to cross physical love
",positive,2,par sharirik prem doosre tataatmhananpar bridge to cross physical love
25,"uski man lakari ke bane kukurmutte par koee phata darning a torn thi.
",negative,0,uski man lakari ke bane kukurmutte par koee phata darning a torn thi
26,"pratyek jiv taste of death chakhnevala hai, aur tumhen to iyamat ke din poora-poora badla de diya jaega. ata jise aag jahannam se hatakar jannat men dail kar diya gaya, vah saphal raha. raha sansarik jivan, to vah maya-samagri ke siva kuchh bhi nahin
",negative,0,pratyek jiv taste of death chakhnevala hai aur tumhen to iyamat ke din poorapoora badla de diya jaega ata jise aag jahannam se hatakar jannat men dail kar diya gaya vah saphal raha raha sansarik jivan to vah mayasamagri ke siva kuchh bhi nahin
27,"fluctuations jute ke production men utar-chaav , low yield , cost sphiti , labour unrest , uncertain demand , obsolete machinery , kuchh iski major problems hain
",negative,0,fluctuations jute ke production men utarchaav low yield cost sphiti labour unrest uncertain demand obsolete machinery kuchh iski major problems hain
28,"ek demographic dividend ke sath kee young lot
",neutral,1,ek demographic dividend ke sath kee young lot
29,"yadi aap yah mante hain ki aap kar sakte hain, to snbhavta aap kar sakte hain.
",neutral,1,yadi aap yah mante hain ki aap kar sakte hain to snbhavta aap kar sakte hain
30,"ek school men, har koee wearing jeans raha hai, har koee ek saman hai
",neutral,1,ek school men har koee wearing jeans raha hai har koee ek saman hai
31,"pichhe ek bari sabhi huee jismen hakim sahab aur pndit meeting was called hue.
",neutral,1,pichhe ek bari sabhi huee jismen hakim sahab aur pndit meeting was called hue
32,"highest se highest amount jo mooly rup me di jani amount
",neutral,1,highest se highest amount jo mooly rup me di jani amount
33,"ye the  turban , chnvron ki pair , umbrella , sword , sandals tatha royal that-bat se rahna.
",neutral,1,ye the turban chnvron ki pair umbrella sword sandals tatha royal thatbat se rahna
34,"aur ae rasool hamare bandon men ibrahim aur isha aur yakoob ko yad karo jo kuvat aur basirat vale the
",neutral,1,aur ae rasool hamare bandon men ibrahim aur isha aur yakoob ko yad karo jo kuvat aur basirat vale the
35,"spades ki place the ten place spades ke nahla ko rakhen
",neutral,1,spades ki place the ten place spades ke nahla ko rakhen
36,"charls tilli Charles Tilly aatnk aatnkvad terrorist sociological theory 2004 22 5-13 men ऑnlain
",negative,0,charls tilli charles tilly aatnk aatnkvad terrorist sociological theory men nlain
37,"evolution data v settings ka backup len v phir bhndarit karen
",neutral,1,evolution data v settings ka backup len v phir bhndarit karen
38,"yah agricultural machinery , wholesale tatha retail bajar evn foreign trade ko bhi vitrit evn niyntrit karta hai.
",neutral,1,yah agricultural machinery wholesale tatha retail bajar evn foreign trade ko bhi vitrit evn niyntrit karta hai
39,"hindi ki various dialects ka literature today bhi popular hai aur today bhi many poets aur writers apna work apni-apni regional bhashaon men karte hain.
",positive,2,hindi ki various dialects ka literature today bhi popular hai aur today bhi many poets aur writers apna work apniapni regional bhashaon men karte hain
40,"image ko 90 degrees par right ghumaen
",neutral,1,image ko degrees par right ghumaen
41,"aur kisi particular scope ke sndarbh men human ka arth ya children , is moreover ka nirnay ham logon ne kar bhi liya tab bhi aanevali pii ki sntanon men yah gun dikhaee dega , is moreover ki koee garnti nahin di ja dispute
",positive,2,aur kisi particular scope ke sndarbh men human ka arth ya children is moreover ka nirnay ham logon ne kar bhi liya tab bhi aanevali pii ki sntanon men yah gun dikhaee dega is moreover ki koee garnti nahin di ja dispute
42,"aaj tonight ek year poora ho jaega.
",neutral,1,aaj tonight ek year poora ho jaega
43,"han, jaise ki doosro ke bare men mansik kalpnaen aur ray.
",positive,2,han jaise ki doosro ke bare men mansik kalpnaen aur ray
44,"air ki quality par new england ka american lung association
",neutral,1,air ki quality par new england ka american lung association
45,"vah uski greater spiritual nature ko niche utarakar is lower trividh satta men nahin triplicity sakta  kyonki yahan to manomay purush hi aatma ki sarvochch expression hai.
",neutral,1,vah uski greater spiritual nature ko niche utarakar is lower trividh satta men nahin triplicity sakta kyonki yahan to manomay purush hi aatma ki sarvochch expression hai
46,"to 1 times 5 barabar hai 5ke
",neutral,1,to times barabar hai ke
47,"chandi taph ya kainditapht mukhyat ornamental purposes ke lie ugae jate hain
",neutral,1,chandi taph ya kainditapht mukhyat ornamental purposes ke lie ugae jate hain
48,"other or buddhist ke patronage men art samriddhshali bani.
",positive,2,other or buddhist ke patronage men art samriddhshali bani
49,"standard chartard 140 miliyan laya hai.
",neutral,1,standard chartard miliyan laya hai
50,"war ke varshon ke dauran , railways par atydhik strain tha  yah n keval troops aur war materials ko desh men hi lane responsibility jane ke great tha varan african war men railways ke lie staff aur materials ki bati huee needs ko poora karne ke un par saunpe gaye dayitv ke great tha
",negative,0,war ke varshon ke dauran railways par atydhik strain tha yah n keval troops aur war materials ko desh men hi lane responsibility jane ke great tha varan african war men railways ke lie staff aur materials ki bati huee needs ko poora karne ke un par saunpe gaye dayitv ke great tha
51,"ve bole, ae moses! ya to tum phenko ya phir ham pahle phenkte hain.
",neutral,1,ve bole ae moses ya to tum phenko ya phir ham pahle phenkte hain
52,"koee maintenance charges dene ki jarurat nahin paid
",negative,0,koee maintenance charges dene ki jarurat nahin paid
53,"CMS attach data snlagn nahin kar sakta hai
",neutral,1,cms attach data snlagn nahin kar sakta hai
54,"aesi incidents ko bilkul tolerance n karne ki mooly prerit commitment ke roop men , mining industry men reaction ki culture ke bajay prevention ki culture ki aavashyakta hai.
",positive,2,aesi incidents ko bilkul tolerance n karne ki mooly prerit commitment ke roop men mining industry men reaction ki culture ke bajay prevention ki culture ki aavashyakta hai
55,"yah patrak batata hai ki vitamin ke  k  benefits bliding  vitamin ke  k  ki kabhi deficiency ki vajah se khoon bahne lagna  kya possible bhash  yah vitamin ke  k  sapliments ke labh aur snbhavit prtikool paristhitiyon ke bare men bhi jankari deta possible bhash
",positive,2,yah patrak batata hai ki vitamin ke k benefits bliding vitamin ke k ki kabhi deficiency ki vajah se khoon bahne lagna kya possible bhash yah vitamin ke k sapliments ke labh aur snbhavit prtikool paristhitiyon ke bare men bhi jankari deta possible bhash
56,"vastuta jab uski ichchhaen poori ho jati hai to vah apne sthan par vapas aa jata hai, aur aannd ka, aatma ka upyog karta hai.
",positive,2,vastuta jab uski ichchhaen poori ho jati hai to vah apne sthan par vapas aa jata hai aur aannd ka aatma ka upyog karta hai
57,"skoolon men bachchon ko corporal punishment dene par rok honi chahie aur vidyarthiyon ko rachnatmak pahal karne ke lie protsahit kiya jana chahie.
",positive,2,skoolon men bachchon ko corporal punishment dene par rok honi chahie aur vidyarthiyon ko rachnatmak pahal karne ke lie protsahit kiya jana chahie
58,"move khiskaen  move par
",neutral,1,move khiskaen move par
59,"dekhe, kare minus 57 divided hai 103 se
",neutral,1,dekhe kare minus divided hai se
60,"kya har koee apne true nature ka jan sakta hai
",positive,2,kya har koee apne true nature ka jan sakta hai
61,"us rush men khinche nahin don get hai   us storm me.
",neutral,1,us rush men khinche nahin don get hai us storm me
62,"item tags ke roop men hi HandyShopper ke stor nam aayat karen
",neutral,1,item tags ke roop men hi handyshopper ke stor nam aayat karen
63,"vidhi men ek niyam ke antargat kee up niyam hote number
",positive,2,vidhi men ek niyam ke antargat kee up niyam hote number
64,"delight bhari gardens men honge
",positive,2,delight bhari gardens men honge
65,"chhote chhote shishu udyog is samay ke mukhri-oonshchhsh-y shishu udyogon men chini, kagaj aur diyaslari ki charcha ki ja sakti hai
",neutral,1,chhote chhote shishu udyog is samay ke mukhrioonshchhshy shishu udyogon men chini kagaj aur diyaslari ki charcha ki ja sakti hai
66,"delhi ke last ne ekjut ho 10 april ko unke khilaph cheating ke aarop ke sath cng kit scam men unki role batate he fir darj karvaee
",negative,0,delhi ke last ne ekjut ho april ko unke khilaph cheating ke aarop ke sath cng kit scam men unki role batate he fir darj karvaee
67,"isiliye ek jyada smaller group ki jaroorat hai , something use aap kary steering committee kahen ya kuchh aur , jo sal men kee bar mil sake , adhik active ho sake aur less kharch se kam chala sake.
",positive,2,isiliye ek jyada smaller group ki jaroorat hai something use aap kary steering committee kahen ya kuchh aur jo sal men kee bar mil sake adhik active ho sake aur less kharch se kam chala sake
68,"unhonne wasn kiya ki vahan paryapt progress nahin thi
",positive,2,unhonne wasn kiya ki vahan paryapt progress nahin thi
69,"han ya nhin parchiyon par votes by members ka abhilekhan ka tarika samanyatya nimnlikhit paristhtiyon men apnaya jata haia-
",neutral,1,han ya nhin parchiyon par votes by members ka abhilekhan ka tarika samanyatya nimnlikhit paristhtiyon men apnaya jata haia
70,"fate account  ye chand towns ke halat hain jo ham tum se bayan karte hain unmen se others to  us vakt tak  ayam hain aur others ka tahas nahas ho gaya
",neutral,1,fate account ye chand towns ke halat hain jo ham tum se bayan karte hain unmen se others to us vakt tak ayam hain aur others ka tahas nahas ho gaya
71,"machinery and implements ki purchase aavdhik rin:
",neutral,1,machinery and implements ki purchase aavdhik rin
72,"to yah vapas potential energy ko phir se chala jata hai.
",positive,2,to yah vapas potential energy ko phir se chala jata hai
73,"children ko opivi 5 years of age tak diya ja sakta hai
",neutral,1,children ko opivi years of age tak diya ja sakta hai
74,"usman riyaja one , yah first tha  aur phir main
",positive,2,usman riyaja one yah first tha aur phir main
75,"is item ke lie dikhae jane ke lie info
",neutral,1,is item ke lie dikhae jane ke lie info
76,"bap ke ganl bladar ka ऑpreshan karaya bangur haspital ke peing bed bharti kara kar.
",positive,2,bap ke ganl bladar ka preshan karaya bangur haspital ke peing bed bharti kara kar
77,"wind ki speed   d kilomitarprtighnta
",neutral,1,wind ki speed d kilomitarprtighnta
78,"yadi selected gaya hai, jab aap esesel enabled site par prvesh karte hain to aapko soochit kiya jaega
",neutral,1,yadi selected gaya hai jab aap esesel enabled site par prvesh karte hain to aapko soochit kiya jaega
79,"pratyek varteks ek label hai, aur in label nimn gun hona aavashyak hai.
",neutral,1,pratyek varteks ek label hai aur in label nimn gun hona aavashyak hai
80,"ii  tuensang affairs minister tuensang district se snbndhit sabhi matters ki babat affairs karega aur unke snbndh men governor ke pas uski direct access hogi kintu vah unke snbndh men mukhymntri ko jankari deta rahega
",neutral,1,ii tuensang affairs minister tuensang district se snbndhit sabhi matters ki babat affairs karega aur unke snbndh men governor ke pas uski direct access hogi kintu vah unke snbndh men mukhymntri ko jankari deta rahega
81,"yaoob ne kaha ae son  dekho bardar  lest apna vision apne brothers se n dohrana  varna  vah log tumhare lie scheme ki tadbir karne lagegen ismen to sha hi nahin ki shaitan man ka sworn huaa enemy hai
",negative,0,yaoob ne kaha ae son dekho bardar lest apna vision apne brothers se n dohrana varna vah log tumhare lie scheme ki tadbir karne lagegen ismen to sha hi nahin ki shaitan man ka sworn huaa enemy hai
82,"jis day sky chakkar khane lagega
",negative,0,jis day sky chakkar khane lagega
83,"joint forest management samitiyon ne tribal people logon ko pichhara aur abhavagrast banane vale van snsadhnon ke dohan ko samapt karne men prmukh played a key
",negative,0,joint forest management samitiyon ne tribal people logon ko pichhara aur abhavagrast banane vale van snsadhnon ke dohan ko samapt karne men prmukh played a key
84,"koee skilled or artistic worker ya karigar.
",neutral,1,koee skilled or artistic worker ya karigar
85,"mai janta hoon ki bodhisatv sabhi living par apni kripa bhav bikhere hue hain!
",positive,2,mai janta hoon ki bodhisatv sabhi living par apni kripa bhav bikhere hue hain
86,"is type ki open files open
",neutral,1,is type ki open files open
87,"svarg ke lie greek men kvaranos planet uranus ke oopar nam rakha gaya
",positive,2,svarg ke lie greek men kvaranos planet uranus ke oopar nam rakha gaya
88,"sab right hai , yah ek aur ek ki kata aur one jana chahie hai.
",negative,0,sab right hai yah ek aur ek ki kata aur one jana chahie hai
89,"xviikh clause 56 ki upclause 2 ke khnd xi men nirdisht kori prtikar ya any snday
",neutral,1,xviikh clause ki upclause ke khnd xi men nirdisht kori prtikar ya any snday
90,"south asian free trade area saphta par kararname par islamabad men 4-6 janavri ko aayojit barahvendakshin eshiyaee kshetriy sahyog sngh sark sammelan ke dauran sark ke sabhi sadasy deshon ne hastakshar kie.
",positive,2,south asian free trade area saphta par kararname par islamabad men janavri ko aayojit barahvendakshin eshiyaee kshetriy sahyog sngh sark sammelan ke dauran sark ke sabhi sadasy deshon ne hastakshar kie
91,"un tinon ne ek gvalin ko dekha jo apne ghar ke samne dahi math rahi thi aur apne charon taraph khelte hue bachchon se kah rahi thi, bhag jao, bachcho, nahin to dahi ki boonden thumi tumhare oopar uchhalakar girengi.
",positive,2,un tinon ne ek gvalin ko dekha jo apne ghar ke samne dahi math rahi thi aur apne charon taraph khelte hue bachchon se kah rahi thi bhag jao bachcho nahin to dahi ki boonden thumi tumhare oopar uchhalakar girengi
92,"lock file ko an-lk karne men asafal
",negative,0,lock file ko anlk karne men asafal
93,"hamne unhen sudharne ki koshish ki hai.
",neutral,1,hamne unhen sudharne ki koshish ki hai
94,"kuchh nothing kam n hane ke karan unhonne apna mind society or lagaane ki drishti se apne jaise vichar vale persons ki ek sosayti bana li.
",positive,2,kuchh nothing kam n hane ke karan unhonne apna mind society or lagaane ki drishti se apne jaise vichar vale persons ki ek sosayti bana li
95,"petitioners  ee-phailing ke madhyam se supreme record men keval pirit person arthat cases filing karne ke ichchhuk person svyn ya nibndhit advocate hi cases filing kar sakta
",positive,2,petitioners eephailing ke madhyam se supreme record men keval pirit person arthat cases filing karne ke ichchhuk person svyn ya nibndhit advocate hi cases filing kar sakta
96,"aesa mana jata hai ki doodling karne vale ka focus bhng ho chuka hai,
",negative,0,aesa mana jata hai ki doodling karne vale ka focus bhng ho chuka hai
97,"yah formulating development ke lie policies ke nirman aur karyanvayan men government ki madad karti hai.
",neutral,1,yah formulating development ke lie policies ke nirman aur karyanvayan men government ki madad karti hai
98,"anksiy ek tantrik word hai jiska shabdik arth hai technical oxygen ke.
",neutral,1,anksiy ek tantrik word hai jiska shabdik arth hai technical oxygen ke
99,"islie ki main kuchh kar sakoon ,  oont chalak ne kaha ,  aur un change those things sakoon jinhen main ghatit hote hue nahin dekhna chahta !
",positive,2,islie ki main kuchh kar sakoon oont chalak ne kaha aur un change those things sakoon jinhen main ghatit hote hue nahin dekhna chahta
100,"bhai bhaee patel ne apni property men apni billions ki babu subhashbaboo ke nam kar di.
",neutral,1,bhai bhaee patel ne apni property men apni billions ki babu subhashbaboo ke nam kar di
101,"24 august, 1833 ko uska janm gujrat ke soorat nagar men huaa.
",neutral,1,august ko uska janm gujrat ke soorat nagar men huaa
102,"prishth ya satah se oopar structure
",neutral,1,prishth ya satah se oopar structure
103,"aur jab unhen koran pakar sunaya jata hai to sajde men nahin gir parte
",neutral,1,aur jab unhen koran pakar sunaya jata hai to sajde men nahin gir parte
104,"ham dreams vale hain kyonki hamare pas ek sapna hai.
",positive,2,ham dreams vale hain kyonki hamare pas ek sapna hai
105,"ae leave mujhe aur us shash ko chhor do jise maine akela paida kiya
",negative,0,ae leave mujhe aur us shash ko chhor do jise maine akela paida kiya
106,"pahle  sab mankind ek hi din rakhte the  phir good men jhagarne lage tab  allah ne najat se tidings bearers dene vale aur azab se darane vale sent ko bheja aur in sent ke sath baraha community bhi nazil ki taki jin baton men mankind jhagarte the kitabe allah  uska  faisla kar de aur phir afsos to ye hai ki is hukm se proofs kiya bhi to unhin logon ne jin ko community di gayi thi aur vah bhi jab un ke pas allah ke clear ehkam aa chuke uske bad aur vah bhi good ki shararat se tab allah ne apni meharbani se  alis  eemandaron ko vah straight ha dikha di jis men un logon ne proofs dal rakha tha aur allah jis ko chahe straight guideth ki hidayat karta hai
",positive,2,pahle sab mankind ek hi din rakhte the phir good men jhagarne lage tab allah ne najat se tidings bearers dene vale aur azab se darane vale sent ko bheja aur in sent ke sath baraha community bhi nazil ki taki jin baton men mankind jhagarte the kitabe allah uska faisla kar de aur phir afsos to ye hai ki is hukm se proofs kiya bhi to unhin logon ne jin ko community di gayi thi aur vah bhi jab un ke pas allah ke clear ehkam aa chuke uske bad aur vah bhi good ki shararat se tab allah ne apni meharbani se alis eemandaron ko vah straight ha dikha di jis men un logon ne proofs dal rakha tha aur allah jis ko chahe straight guideth ki hidayat karta hai
107,"magar is sabse jyada mainne yah learned ki ye sab simple itni saral hain ki inhen nagine ki satah par bhi likha ja sakta hai .
",neutral,1,magar is sabse jyada mainne yah learned ki ye sab simple itni saral hain ki inhen nagine ki satah par bhi likha ja sakta hai
108,"industrial relations bill men delay ki bhi ek complaint mili hai.
",negative,0,industrial relations bill men delay ki bhi ek complaint mili hai
109,"vah lord aur earth ka aur jo kuchh unke bich hai beneficent god hai , atyant kripashil hai , uske samne bat karna unke bas men nahin hoga
",positive,2,vah lord aur earth ka aur jo kuchh unke bich hai beneficent god hai atyant kripashil hai uske samne bat karna unke bas men nahin hoga
110,"yah region malaria, kala aur leprosy rog se prbhavit tha.
",neutral,1,yah region malaria kala aur leprosy rog se prbhavit tha
111,"aur hamne aasman se ek andaje e sath pani barsaya phir usko zamin men hasab maslehat thahrae rakha aur ham to yainan uske aeb kar dene par bhi aboo rakhte hai
",positive,2,aur hamne aasman se ek andaje e sath pani barsaya phir usko zamin men hasab maslehat thahrae rakha aur ham to yainan uske aeb kar dene par bhi aboo rakhte hai
112,"unke children ki paravrish men poora rashtrapati bhavan unke sath whole
",neutral,1,unke children ki paravrish men poora rashtrapati bhavan unke sath whole
113,"phir tumko usi men resurrection le end aur  earth men usi se  nikal kar khara karega
",neutral,1,phir tumko usi men resurrection le end aur earth men usi se nikal kar khara karega
114,"1882 men lord ripon ne district local boards ke gathan ke sath india men local self-government ki sthapna ki
",neutral,1,men lord ripon ne district local boards ke gathan ke sath india men local selfgovernment ki sthapna ki
115,"chaynit bookmark ko new tab men kholen
",neutral,1,chaynit bookmark ko new tab men kholen
116,"bharat ne in charchaon men actively and constructively dhng se hisa liya aur duniya se samast parmanu hathiyaron ki samapti ke lie ek samayabaddh karyakram ka prastav karke is sndhi ko nirastrikaran ke dhanche men dhalne ki mang jahir ki.
",negative,0,bharat ne in charchaon men actively and constructively dhng se hisa liya aur duniya se samast parmanu hathiyaron ki samapti ke lie ek samayabaddh karyakram ka prastav karke is sndhi ko nirastrikaran ke dhanche men dhalne ki mang jahir ki
117,"india ne in negotiations men sakriy aur framework elimination se hisa liya aur duniya se samast nuclear weapons ki samapti ke lie ek samayabaddh programme ka prastav karke is treaty ko disarmament ke dhanche men dhalne ki mang jahir ki.
",negative,0,india ne in negotiations men sakriy aur framework elimination se hisa liya aur duniya se samast nuclear weapons ki samapti ke lie ek samayabaddh programme ka prastav karke is treaty ko disarmament ke dhanche men dhalne ki mang jahir ki
118,"haq mujahideen ke dashak ke soviyat-aphgan war ke samay se hi cia se jurai the
",negative,0,haq mujahideen ke dashak ke soviyataphgan war ke samay se hi cia se jurai the
119,"aur uda hi ne tummen se baz ko baz par rizak daulat men tarjih di hai phir jin logon ko rozi jyada di gee hai vah log apni rozi men se un logon ko jin par unka dastaras ikhteyar hai laundi ulam vaairah dene vala nahin halki is mal men to sab ke sab malik gulam vaairah barabar hain to kya ye log uda ki neamat ke munkir hain
",positive,2,aur uda hi ne tummen se baz ko baz par rizak daulat men tarjih di hai phir jin logon ko rozi jyada di gee hai vah log apni rozi men se un logon ko jin par unka dastaras ikhteyar hai laundi ulam vaairah dene vala nahin halki is mal men to sab ke sab malik gulam vaairah barabar hain to kya ye log uda ki neamat ke munkir hain
120,"pani men nice ka vahan bahut baiya intazam hai.
",positive,2,pani men nice ka vahan bahut baiya intazam hai
121,"phitakrimi infestation men human primary poshi ya host hai
",neutral,1,phitakrimi infestation men human primary poshi ya host hai
122,"juvenile justice board ne prakat lower se appellant ko , १३  ०८  २००३ par uski age २० years manakar , jo medical board dvara tay ek years ki range ke bhitar kami ki side thi , benefit diya hai
",positive,2,juvenile justice board ne prakat lower se appellant ko par uski age years manakar jo medical board dvara tay ek years ki range ke bhitar kami ki side thi benefit diya hai
123,"unhonne kaha ki unka job multifarious force unhonne salah projection ki unhen yah sadaiv yad people chahie ki unke behaviour aur conduct se n keval police seva ke bare men najriya banata hai varan vah vastav men common janta ke samne entire administration ka reflection hota force
",neutral,1,unhonne kaha ki unka job multifarious force unhonne salah projection ki unhen yah sadaiv yad people chahie ki unke behaviour aur conduct se n keval police seva ke bare men najriya banata hai varan vah vastav men common janta ke samne entire administration ka reflection hota force
124,"rural electrification ekal electric ghar
",neutral,1,rural electrification ekal electric ghar
125,"indian national congress ne simon commission ke gathan par appointment prtikriya vyakt ki
",neutral,1,indian national congress ne simon commission ke gathan par appointment prtikriya vyakt ki
126,"snow leopard himalay men blue sheep ka shikar karta hai.
",neutral,1,snow leopard himalay men blue sheep ka shikar karta hai
127,"ek hydrological unit ke lie jal snsadhan development and management ki yojna banani hogi.
",neutral,1,ek hydrological unit ke lie jal snsadhan development and management ki yojna banani hogi
128,"madras high court women ke enrolment men bhi pioneer raha.
",neutral,1,madras high court women ke enrolment men bhi pioneer raha
129,"place chief , malik bhago guru ko apne dvara sushebhit ki huee rich feast men food grahan karne ke lie kahta hai.
",positive,2,place chief malik bhago guru ko apne dvara sushebhit ki huee rich feast men food grahan karne ke lie kahta hai
130,"ham logon ne to ye bat pichhle din men kabhi suni bhi nahin ho n ho ye uski man gant hai
",neutral,1,ham logon ne to ye bat pichhle din men kabhi suni bhi nahin ho n ho ye uski man gant hai
131,"aur nishchay hi lesson lie cattle men bhi ek shiksha hai. unke bellies men jo kuchh hai drink se ham tumhen pilate hai. au lesson lie unmen bahut-se benefits hai aur unhen tum khate bhi ho
",positive,2,aur nishchay hi lesson lie cattle men bhi ek shiksha hai unke bellies men jo kuchh hai drink se ham tumhen pilate hai au lesson lie unmen bahutse benefits hai aur unhen tum khate bhi ho
132,"other alava ganesh chaturthi aur janmashtmi kuchh adhik dhoom-dham ke sng janmashtmi jate hain.
",positive,2,other alava ganesh chaturthi aur janmashtmi kuchh adhik dhoomdham ke sng janmashtmi jate hain
133,"bharavi karib karib kalidas ke contemporary the
",neutral,1,bharavi karib karib kalidas ke contemporary the
134,"statecraft ke is mantra ko pahchante hue , karnataka dvara government aur shasit ke bich snbndhon ko ghanishth banane ka pryas kiya ja raha hai.
",neutral,1,statecraft ke is mantra ko pahchante hue karnataka dvara government aur shasit ke bich snbndhon ko ghanishth banane ka pryas kiya ja raha hai
135,"urdu bhi hindi ki is shakti se hi birth huee fact
",neutral,1,urdu bhi hindi ki is shakti se hi birth huee fact
136,"disability aur housing ke bare men policy housingpolicy_disability  detrgovuk
",neutral,1,disability aur housing ke bare men policy housingpolicydisability detrgovuk
137,"ghareloo observe the fly ke bad apne kamne ki chhat par baithte hue dekhie.
",neutral,1,ghareloo observe the fly ke bad apne kamne ki chhat par baithte hue dekhie
